Job Role,Company,Experience Level,Location,Skills,Job Type,Work Mode,Salary Range,Job Posting Date,Min Salary (LPA),Max Salary (LPA)
Junior Data Analyst,"Gomez, Lee And White",Mid Level,Chennai,"powerbi, excel, powerbi",Full-Time,Hybrid,12-17 LPA,2025-07-02,12.0,17.0
Data Analytics Specialist,Ochoa-Holloway,Mid Level,New Delhi,"python, excel, google colab, powerbi, powerbi, tableau",Full-Time,On-Site,7-31 LPA,2025-07-20,7.0,31.0
Data Analytics Specialist,"Hale, Mack And Brown",Mid Level,Mumbai,"python, powerbi, powerbi, powerbi",Contract,On-Site,4-19 LPA,2025-02-27,4.0,19.0
Senior Data Analyst,Chapman And Sons,Internship,Remote,"excel, powerbi, machine learning, powerbi, python, google cloud",Full-Time,Remote,9-23 LPA,2025-08-12,9.0,23.0
Data Analytics Specialist,Proctor And Sons,Entry Level,Mumbai,"powerbi, google colab, python, powerbi, r",Part-Time,On-Site,3-27 LPA,2025-01-05,3.0,27.0
Data Analytics Specialist,Davis-Clark,Entry Level,Mumbai,"tableau, powerbi, excel, google colab, google cloud, powerbi",Full-Time,On-Site,7-31 LPA,2025-07-16,7.0,31.0
Senior Data Analyst,Becker-Martinez,Mid Level,Pune,"sql, powerbi, r, machine learning",Full-Time,On-Site,9-25 LPA,2025-07-15,9.0,25.0
Junior Data Analyst,"Cole, King And Olsen",Internship,Mumbai,"google colab, machine learning, powerbi",Contract,Remote,5-30 LPA,2025-01-13,5.0,30.0
Junior Data Analyst,Novak Llc,Entry Level,Pune,"excel, tableau, powerbi, powerbi",Part-Time,Remote,15-28 LPA,2025-05-09,15.0,28.0
Senior Data Analyst,Munoz Inc,Senior Level,Mumbai,"tableau, r, powerbi, machine learning, google cloud, powerbi",Full-Time,On-Site,15-18 LPA,2024-10-02,15.0,18.0
Junior Data Analyst,"Klein, Davis And Newman",Entry Level,Chennai,"machine learning, powerbi, excel, sql",Full-Time,Hybrid,12-25 LPA,2024-11-16,12.0,25.0
Data Analytics Specialist,Powers Llc,Internship,Pune,"google colab, powerbi, tableau, excel, google cloud",Contract,Remote,5-25 LPA,2024-11-25,5.0,25.0
Junior Data Analyst,Martin Plc,Mid Level,Bangalore,"powerbi, tableau, excel, powerbi, machine learning, r",Contract,On-Site,11-20 LPA,2025-06-30,11.0,20.0
Senior Data Analyst,Clark Group,Mid Level,Bangalore,"sql, machine learning, powerbi, powerbi, google cloud, r",Internship,On-Site,3-35 LPA,2024-10-16,3.0,35.0
Senior Data Analyst,"Jacobs, Stewart And Rodgers",Entry Level,Mumbai,"machine learning, powerbi, google cloud, tableau, r",Part-Time,Remote,5-16 LPA,2025-08-23,5.0,16.0
Data Analytics Specialist,"Morgan, Johnson And Dunn",Internship,Pune,"powerbi, google colab, machine learning, r, powerbi",Part-Time,On-Site,7-27 LPA,2024-09-30,7.0,27.0
Data Analyst,Thompson-Hudson,Entry Level,New Delhi,"powerbi, excel, google colab, powerbi",Part-Time,Hybrid,6-19 LPA,2025-01-23,6.0,19.0
Junior Data Analyst,Frost-Bailey,Senior Level,New Delhi,"excel, powerbi, powerbi, google cloud, r",Internship,Hybrid,11-33 LPA,2025-06-23,11.0,33.0
Senior Data Analyst,Holland Inc,Mid Level,Chennai,"powerbi, r, powerbi",Contract,Hybrid,7-26 LPA,2025-08-24,7.0,26.0
Data Analyst,Myers And Sons,Internship,Chennai,"sql, excel, machine learning, powerbi, powerbi",Full-Time,Hybrid,6-22 LPA,2025-05-07,6.0,22.0
Data Analytics Specialist,Lambert-Wise,Entry Level,Hyderabad,"google cloud, r, sql, google colab, powerbi, machine learning",Internship,On-Site,5-25 LPA,2025-07-23,5.0,25.0
Data Analyst,Myers Llc,Senior Level,New Delhi,"powerbi, google colab, sql, google cloud",Full-Time,Hybrid,4-30 LPA,2025-04-13,4.0,30.0
Data Analyst,"Elliott, Hansen And Stone",Senior Level,Bangalore,"google cloud, excel, powerbi, sql, tableau",Contract,Remote,14-22 LPA,2024-11-20,14.0,22.0
Data Analytics Specialist,Wright-Haley,Mid Level,Chennai,"python, machine learning, r, tableau",Contract,Remote,6-25 LPA,2025-02-24,6.0,25.0
Data Analytics Specialist,"Powell, Benson And Allen",Entry Level,New Delhi,"powerbi, machine learning, python, powerbi, r",Internship,Remote,14-27 LPA,2024-10-12,14.0,27.0
Senior Data Analyst,Baird And Sons,Internship,Chennai,"powerbi, python, powerbi, excel",Part-Time,Hybrid,12-21 LPA,2025-07-13,12.0,21.0
Data Analyst,"Decker, Garcia And Norton",Entry Level,Bangalore,"powerbi, sql, python, google cloud",Contract,Remote,14-31 LPA,2025-06-20,14.0,31.0
Senior Data Analyst,Thompson-Ellis,Mid Level,Pune,"r, tableau, powerbi",Full-Time,Hybrid,8-16 LPA,2025-08-01,8.0,16.0
Junior Data Analyst,Snyder Ltd,Mid Level,Mumbai,"r, sql, powerbi, python",Full-Time,On-Site,7-22 LPA,2025-08-21,7.0,22.0
Senior Data Analyst,Odonnell Plc,Mid Level,Remote,"powerbi, tableau, powerbi, python, google colab",Internship,Hybrid,15-19 LPA,2025-02-26,15.0,19.0
Senior Data Analyst,Duncan-Klein,Entry Level,New Delhi,"powerbi, powerbi, google cloud, python, powerbi, excel",Full-Time,Hybrid,14-18 LPA,2025-01-31,14.0,18.0
Data Analytics Specialist,Richardson Group,Internship,Remote,"python, excel, powerbi, machine learning",Contract,Remote,9-31 LPA,2025-08-20,9.0,31.0
Junior Data Analyst,"Patrick, Wilson And Morgan",Entry Level,Bangalore,"machine learning, tableau, google colab, excel",Internship,Remote,7-24 LPA,2025-03-28,7.0,24.0
Data Analytics Specialist,Odom And Sons,Internship,Bangalore,"excel, machine learning, powerbi, tableau, sql, powerbi",Full-Time,Remote,6-34 LPA,2025-03-09,6.0,34.0
Data Analytics Specialist,Parrish-Lee,Entry Level,Hyderabad,"google cloud, r, powerbi",Contract,On-Site,5-28 LPA,2025-01-03,5.0,28.0
Data Analyst,Garcia Group,Entry Level,New Delhi,"powerbi, powerbi, python, machine learning, powerbi",Full-Time,On-Site,10-31 LPA,2024-11-11,10.0,31.0
Data Analytics Specialist,Thompson-Padilla,Entry Level,Bangalore,"tableau, machine learning, powerbi, sql, google cloud",Contract,Remote,15-30 LPA,2025-06-26,15.0,30.0
Junior Data Analyst,Rogers And Sons,Internship,Hyderabad,"tableau, excel, sql, machine learning, powerbi",Internship,On-Site,4-27 LPA,2025-04-27,4.0,27.0
Senior Data Analyst,Keith And Sons,Senior Level,Hyderabad,"machine learning, powerbi, powerbi, sql, google cloud, tableau",Contract,On-Site,5-31 LPA,2025-06-23,5.0,31.0
Senior Data Analyst,Chase-Padilla,Internship,Remote,"google cloud, powerbi, google colab, powerbi",Full-Time,Hybrid,7-25 LPA,2025-06-06,7.0,25.0
Senior Data Analyst,Castro And Sons,Mid Level,Kolkata,"google colab, python, excel, machine learning",Full-Time,Hybrid,6-34 LPA,2025-04-02,6.0,34.0
Junior Data Analyst,"Wilkinson, Lang And Pineda",Senior Level,Bangalore,"google cloud, excel, google colab, sql",Part-Time,Remote,5-34 LPA,2024-12-15,5.0,34.0
Junior Data Analyst,Little Ltd,Mid Level,Bangalore,"excel, google colab, google cloud",Internship,On-Site,15-29 LPA,2025-04-27,15.0,29.0
Junior Data Analyst,Leon And Sons,Internship,Remote,"google cloud, python, sql",Internship,On-Site,12-22 LPA,2025-06-22,12.0,22.0
Data Analyst,Robinson-Carr,Senior Level,Bangalore,"google colab, powerbi, google cloud, powerbi",Part-Time,On-Site,13-32 LPA,2025-03-14,13.0,32.0
Junior Data Analyst,Jones-Graham,Internship,Pune,"excel, powerbi, r, powerbi, powerbi",Part-Time,On-Site,5-17 LPA,2024-11-23,5.0,17.0
Data Analytics Specialist,Ryan-Clark,Entry Level,Mumbai,"r, powerbi, excel, google cloud",Internship,On-Site,10-34 LPA,2025-05-28,10.0,34.0
Data Analyst,Arroyo Inc,Senior Level,Chennai,"machine learning, python, tableau, google colab, excel",Full-Time,Remote,9-29 LPA,2025-04-10,9.0,29.0
Data Analytics Specialist,"Ramirez, Miller And Castillo",Senior Level,Mumbai,"tableau, google cloud, google colab, excel, python",Contract,On-Site,14-32 LPA,2025-06-07,14.0,32.0
Data Analyst,"Hensley, Johnson And Mitchell",Mid Level,Hyderabad,"r, google colab, excel",Full-Time,Remote,6-31 LPA,2025-05-02,6.0,31.0
Data Analytics Specialist,Buck-Jones,Senior Level,Pune,"excel, sql, machine learning, google colab, python, tableau",Part-Time,Hybrid,10-28 LPA,2025-02-08,10.0,28.0
Data Analyst,Snyder-Martinez,Internship,Remote,"python, google cloud, machine learning",Full-Time,Hybrid,9-27 LPA,2025-02-11,9.0,27.0
Data Analytics Specialist,Hall Inc,Internship,Pune,"google colab, machine learning, excel, r, powerbi, python",Full-Time,Hybrid,14-20 LPA,2025-04-12,14.0,20.0
Data Analyst,Burton-Murray,Entry Level,Hyderabad,"powerbi, machine learning, sql",Part-Time,Hybrid,12-22 LPA,2025-02-21,12.0,22.0
Senior Data Analyst,King And Sons,Mid Level,Remote,"powerbi, excel, python, powerbi, machine learning",Full-Time,Remote,13-22 LPA,2025-03-02,13.0,22.0
Data Analyst,"Simmons, Schmidt And Nelson",Mid Level,Bangalore,"sql, powerbi, powerbi, machine learning, google colab",Full-Time,Hybrid,7-35 LPA,2025-05-11,7.0,35.0
Data Analyst,Lee-Long,Mid Level,Bangalore,"tableau, python, sql, excel",Part-Time,Remote,12-18 LPA,2024-10-05,12.0,18.0
Data Analytics Specialist,Shepard And Sons,Mid Level,Pune,"python, sql, google cloud",Internship,On-Site,3-27 LPA,2025-02-19,3.0,27.0
Junior Data Analyst,Rosales Inc,Entry Level,Chennai,"python, machine learning, excel, powerbi, powerbi",Internship,Hybrid,12-29 LPA,2025-08-11,12.0,29.0
Junior Data Analyst,"Torres, Kim And Williams",Mid Level,Pune,"google cloud, powerbi, sql, excel",Internship,Hybrid,10-23 LPA,2024-12-14,10.0,23.0
Senior Data Analyst,"Gaines, Maynard And Parker",Senior Level,New Delhi,"powerbi, powerbi, google colab, excel, sql",Internship,Remote,3-17 LPA,2024-11-05,3.0,17.0
Data Analyst,Franklin Inc,Mid Level,Pune,"google cloud, powerbi, python",Internship,Remote,10-32 LPA,2024-11-23,10.0,32.0
Junior Data Analyst,Hill Group,Entry Level,Bangalore,"powerbi, machine learning, powerbi, google cloud, tableau",Part-Time,Hybrid,11-17 LPA,2024-09-18,11.0,17.0
Junior Data Analyst,Simmons-Cowan,Entry Level,Mumbai,"python, excel, powerbi, powerbi, machine learning, powerbi",Contract,On-Site,15-31 LPA,2024-12-12,15.0,31.0
Junior Data Analyst,Johnson Inc,Senior Level,Bangalore,"tableau, python, machine learning, excel, powerbi, powerbi",Contract,Remote,12-35 LPA,2024-11-22,12.0,35.0
Data Analyst,Downs-Bell,Internship,Remote,"r, powerbi, python, google cloud, google colab",Full-Time,Hybrid,8-22 LPA,2024-09-10,8.0,22.0
Data Analytics Specialist,Shah-Gray,Internship,Bangalore,"r, powerbi, google cloud",Full-Time,Hybrid,4-27 LPA,2025-07-05,4.0,27.0
Data Analyst,Booth-Brown,Senior Level,Hyderabad,"tableau, powerbi, powerbi, google colab",Part-Time,Remote,15-26 LPA,2025-03-16,15.0,26.0
Data Analyst,"Wilkerson, Ball And Williams",Entry Level,Remote,"excel, powerbi, powerbi, powerbi, r",Internship,Hybrid,15-27 LPA,2024-12-16,15.0,27.0
Junior Data Analyst,Alexander And Sons,Entry Level,Chennai,"google cloud, google colab, machine learning",Full-Time,Hybrid,5-18 LPA,2025-04-07,5.0,18.0
Junior Data Analyst,"Smith, Johnson And Novak",Internship,Remote,"sql, powerbi, google colab, python",Full-Time,Remote,8-30 LPA,2024-12-07,8.0,30.0
Junior Data Analyst,Williams-Ortiz,Mid Level,Bangalore,"google cloud, powerbi, excel, tableau",Internship,On-Site,10-19 LPA,2025-07-27,10.0,19.0
Senior Data Analyst,Hines-Stark,Mid Level,New Delhi,"powerbi, tableau, machine learning",Contract,Remote,14-17 LPA,2025-04-24,14.0,17.0
Data Analytics Specialist,Fischer And Sons,Internship,Hyderabad,"excel, r, google cloud, python, google colab, tableau",Contract,Remote,13-30 LPA,2024-12-26,13.0,30.0
Data Analytics Specialist,Oneill-Fisher,Internship,Hyderabad,"google cloud, python, sql, tableau, google colab, powerbi",Contract,Remote,4-32 LPA,2025-01-15,4.0,32.0
Data Analyst,Howe Plc,Internship,Pune,"r, google colab, powerbi, machine learning, excel",Internship,Remote,8-30 LPA,2024-11-19,8.0,30.0
Data Analytics Specialist,Bennett Plc,Senior Level,Mumbai,"python, powerbi, google cloud, powerbi, machine learning, r",Internship,On-Site,4-24 LPA,2025-07-30,4.0,24.0
Junior Data Analyst,Arellano Plc,Mid Level,Chennai,"google colab, machine learning, r, powerbi, powerbi, excel",Part-Time,On-Site,3-26 LPA,2025-01-25,3.0,26.0
Junior Data Analyst,Lee Llc,Internship,Remote,"machine learning, tableau, r, powerbi, excel",Full-Time,Remote,4-25 LPA,2025-03-01,4.0,25.0
Junior Data Analyst,Gonzalez-Anderson,Senior Level,Kolkata,"google colab, r, tableau, powerbi",Full-Time,Remote,4-16 LPA,2024-10-29,4.0,16.0
Data Analyst,Pena And Sons,Internship,Hyderabad,"powerbi, google colab, python",Internship,Hybrid,15-16 LPA,2025-01-08,15.0,16.0
Data Analyst,"Gray, Farrell And Smith",Senior Level,Hyderabad,"powerbi, r, powerbi, powerbi, google colab",Part-Time,Remote,10-26 LPA,2024-11-18,10.0,26.0
Junior Data Analyst,Parker Inc,Mid Level,Kolkata,"r, sql, powerbi",Contract,Remote,11-29 LPA,2025-05-31,11.0,29.0
Junior Data Analyst,"Smith, Jackson And Willis",Internship,Chennai,"google cloud, powerbi, sql, google colab",Part-Time,Hybrid,6-27 LPA,2024-10-26,6.0,27.0
Junior Data Analyst,Ortiz-Garcia,Entry Level,Remote,"sql, python, excel, powerbi, google colab, machine learning",Full-Time,Remote,13-32 LPA,2025-07-03,13.0,32.0
Senior Data Analyst,Hill-Adams,Mid Level,Mumbai,"r, tableau, sql, powerbi, excel, powerbi",Part-Time,Hybrid,3-24 LPA,2024-10-14,3.0,24.0
Data Analytics Specialist,Everett-Morrison,Entry Level,Chennai,"sql, powerbi, r, excel",Part-Time,On-Site,10-24 LPA,2025-05-02,10.0,24.0
Data Analytics Specialist,Keller Ltd,Internship,Remote,"powerbi, r, machine learning, excel",Part-Time,On-Site,3-22 LPA,2025-06-02,3.0,22.0
Data Analyst,Garcia Ltd,Senior Level,New Delhi,"powerbi, machine learning, excel, powerbi",Contract,On-Site,13-28 LPA,2024-11-15,13.0,28.0
Data Analytics Specialist,Ramirez Llc,Entry Level,Pune,"powerbi, google cloud, powerbi, python, sql, tableau",Full-Time,Hybrid,6-20 LPA,2024-09-19,6.0,20.0
Data Analytics Specialist,Smith Plc,Mid Level,New Delhi,"r, machine learning, excel",Internship,Remote,4-20 LPA,2024-09-06,4.0,20.0
Junior Data Analyst,Johns Plc,Senior Level,Mumbai,"excel, r, tableau, google cloud",Internship,On-Site,7-31 LPA,2024-12-20,7.0,31.0
Junior Data Analyst,Lang-Johnson,Internship,Bangalore,"powerbi, machine learning, tableau, excel",Full-Time,Remote,6-18 LPA,2024-12-05,6.0,18.0
Data Analytics Specialist,Hamilton Inc,Mid Level,New Delhi,"powerbi, excel, google colab, google cloud, powerbi",Internship,Remote,4-29 LPA,2024-10-08,4.0,29.0
Data Analyst,Smith Inc,Internship,Hyderabad,"machine learning, powerbi, sql, r",Contract,On-Site,5-32 LPA,2025-01-04,5.0,32.0
Junior Data Analyst,"Nicholson, Green And Olson",Entry Level,Bangalore,"powerbi, python, google cloud",Contract,On-Site,11-29 LPA,2025-06-21,11.0,29.0
Junior Data Analyst,Lynch Inc,Entry Level,New Delhi,"powerbi, excel, tableau, powerbi, sql",Part-Time,On-Site,9-24 LPA,2025-08-08,9.0,24.0
Data Analyst,Yang And Sons,Entry Level,Kolkata,"r, sql, powerbi, powerbi",Internship,Hybrid,10-23 LPA,2025-06-26,10.0,23.0
Data Analytics Specialist,Shelton Inc,Senior Level,Hyderabad,"python, sql, powerbi, powerbi, excel",Full-Time,Remote,3-18 LPA,2025-01-22,3.0,18.0
Junior Data Analyst,Wilson Ltd,Internship,Mumbai,"powerbi, machine learning, r, powerbi",Internship,On-Site,9-30 LPA,2025-07-13,9.0,30.0
Junior Data Analyst,Simon Llc,Mid Level,Remote,"google cloud, r, google colab, tableau, sql, powerbi",Internship,Remote,5-22 LPA,2025-03-21,5.0,22.0
Data Analyst,"Larson, Mahoney And Potts",Entry Level,Chennai,"powerbi, r, google colab, python",Full-Time,Hybrid,12-20 LPA,2024-12-01,12.0,20.0
Data Analyst,"Good, Lucero And Ray",Entry Level,Kolkata,"powerbi, python, excel, sql",Full-Time,Hybrid,4-27 LPA,2025-08-06,4.0,27.0
Data Analyst,Bryan Inc,Senior Level,Mumbai,"tableau, powerbi, excel",Contract,Remote,8-32 LPA,2025-07-20,8.0,32.0
Junior Data Analyst,"Wright, Davis And Oconnor",Senior Level,Hyderabad,"python, google colab, excel, tableau",Part-Time,On-Site,3-18 LPA,2024-09-28,3.0,18.0
Senior Data Analyst,"Alexander, Rodriguez And Lucas",Internship,Hyderabad,"powerbi, sql, powerbi, excel, python",Part-Time,On-Site,7-20 LPA,2024-10-01,7.0,20.0
Data Analytics Specialist,Marshall-Lopez,Entry Level,Remote,"r, sql, powerbi, excel, google cloud, powerbi",Internship,Remote,12-29 LPA,2024-11-17,12.0,29.0
Junior Data Analyst,Long-Burns,Mid Level,Remote,"google colab, python, powerbi, tableau, powerbi, r",Contract,Hybrid,13-23 LPA,2025-07-07,13.0,23.0
Data Analyst,Mclean Inc,Entry Level,Remote,"tableau, r, powerbi, python",Contract,Remote,12-25 LPA,2025-08-01,12.0,25.0
Junior Data Analyst,Johnson-Jones,Internship,Mumbai,"tableau, python, google colab, powerbi",Full-Time,Hybrid,5-21 LPA,2025-08-18,5.0,21.0
Data Analytics Specialist,Wade-Miller,Mid Level,Chennai,"sql, google colab, tableau, powerbi",Internship,Hybrid,12-17 LPA,2025-06-15,12.0,17.0
Data Analytics Specialist,Richard-Simpson,Entry Level,Pune,"powerbi, python, tableau, powerbi, google colab",Full-Time,On-Site,6-26 LPA,2024-10-09,6.0,26.0
Junior Data Analyst,"Smith, Smith And Cook",Mid Level,Mumbai,"powerbi, tableau, google colab, machine learning",Full-Time,Remote,4-23 LPA,2025-02-03,4.0,23.0
Senior Data Analyst,"Martinez, Barnes And Winters",Senior Level,Remote,"powerbi, google cloud, powerbi, excel, google colab",Internship,Hybrid,7-35 LPA,2024-10-18,7.0,35.0
Senior Data Analyst,"Mason, Foster And Barrett",Entry Level,Pune,"r, google colab, python",Part-Time,Remote,4-30 LPA,2025-07-29,4.0,30.0
Data Analytics Specialist,Green Llc,Mid Level,New Delhi,"powerbi, r, excel, google colab, google cloud, python",Part-Time,Hybrid,5-19 LPA,2025-02-04,5.0,19.0
Junior Data Analyst,"Brady, Franklin And Gill",Internship,Kolkata,"r, powerbi, powerbi",Internship,Remote,12-20 LPA,2025-03-23,12.0,20.0
Data Analytics Specialist,Williams Llc,Entry Level,Hyderabad,"machine learning, google colab, sql",Full-Time,Hybrid,11-24 LPA,2024-11-22,11.0,24.0
Data Analytics Specialist,Hughes Plc,Entry Level,Hyderabad,"powerbi, machine learning, excel",Internship,On-Site,3-34 LPA,2024-08-31,3.0,34.0
Senior Data Analyst,"Crawford, Rose And Carter",Mid Level,Chennai,"machine learning, google colab, excel, r, python",Internship,Remote,3-18 LPA,2024-11-01,3.0,18.0
Data Analyst,Gray-Banks,Internship,Pune,"sql, machine learning, excel, google cloud, powerbi",Full-Time,Hybrid,4-27 LPA,2025-03-02,4.0,27.0
Data Analytics Specialist,Dickerson Plc,Senior Level,New Delhi,"excel, google cloud, google colab, python, powerbi",Part-Time,Remote,12-16 LPA,2025-06-26,12.0,16.0
Data Analytics Specialist,Turner-Lopez,Internship,Remote,"powerbi, google cloud, tableau",Full-Time,On-Site,11-34 LPA,2025-01-29,11.0,34.0
Junior Data Analyst,Huffman-Castro,Senior Level,New Delhi,"machine learning, google colab, google cloud, powerbi",Part-Time,On-Site,5-16 LPA,2025-08-12,5.0,16.0
Senior Data Analyst,"Ibarra, Brown And Arnold",Mid Level,Hyderabad,"python, r, sql, powerbi",Contract,Remote,6-35 LPA,2025-06-18,6.0,35.0
Data Analytics Specialist,"Williams, Moore And Lopez",Internship,Hyderabad,"sql, google colab, python",Contract,On-Site,9-25 LPA,2025-05-05,9.0,25.0
Junior Data Analyst,"Mullins, Romero And Rodgers",Internship,Remote,"sql, machine learning, tableau, google colab, powerbi",Part-Time,Remote,14-33 LPA,2025-08-16,14.0,33.0
Data Analyst,Brown Group,Senior Level,Pune,"powerbi, powerbi, machine learning, excel, google cloud, sql",Internship,Remote,12-19 LPA,2025-02-07,12.0,19.0
Senior Data Analyst,Jones-Watkins,Entry Level,Bangalore,"powerbi, google colab, sql, powerbi",Full-Time,Hybrid,5-33 LPA,2024-10-01,5.0,33.0
Data Analyst,Lawson Ltd,Senior Level,Pune,"tableau, sql, r, machine learning",Internship,Hybrid,12-24 LPA,2025-02-14,12.0,24.0
Data Analytics Specialist,Anderson Ltd,Internship,Bangalore,"r, tableau, machine learning",Contract,Hybrid,6-28 LPA,2024-09-28,6.0,28.0
Data Analyst,Decker Llc,Entry Level,Bangalore,"powerbi, google colab, google cloud, python",Internship,Hybrid,10-19 LPA,2024-10-16,10.0,19.0
Data Analytics Specialist,Sexton Plc,Mid Level,Remote,"python, powerbi, sql, excel, powerbi, r",Internship,Hybrid,4-16 LPA,2025-07-09,4.0,16.0
Junior Data Analyst,Coleman-Liu,Mid Level,Kolkata,"excel, tableau, google colab, r, machine learning, powerbi",Internship,Hybrid,11-22 LPA,2025-02-23,11.0,22.0
Data Analytics Specialist,Hayes Llc,Entry Level,Mumbai,"python, powerbi, excel",Internship,Hybrid,13-32 LPA,2025-03-26,13.0,32.0
Junior Data Analyst,Wallace-Harrison,Senior Level,Pune,"google cloud, sql, r, python, powerbi",Internship,Hybrid,7-34 LPA,2025-06-16,7.0,34.0
Senior Data Analyst,"Thomas, Gregory And Jackson",Mid Level,Kolkata,"google cloud, google colab, powerbi, powerbi",Contract,Remote,7-22 LPA,2024-11-05,7.0,22.0
